item_id,item_name,manufacturer_id,manufacturer_name,city_id,city_name,category,date,qty_sold,mrp
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,3,Pune,Toys & Games,2025-08-13,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,15,Kolkata,Toys & Games,2025-07-15,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,9,Gurgaon,Toys & Games,2025-07-10,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2026-01-21,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,15,Kolkata,Toys & Games,2026-02-15,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-09-24,3.0,4497.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-12-31,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,10,Ghaziabad,Toys & Games,2025-09-05,4.0,5996.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-07-05,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,7,Delhi,Toys & Games,2025-05-15,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-05-22,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-05-31,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,10,Ghaziabad,Toys & Games,2025-10-03,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,3,Pune,Toys & Games,2025-04-27,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,4,Chennai,Toys & Games,2025-04-29,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-09-23,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-12-04,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-11-01,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,325,Bidar,Toys & Games,2025-12-13,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,304,Vellore,Toys & Games,2025-07-30,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,10,Ghaziabad,Toys & Games,2026-01-31,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,2,Mumbai,Toys & Games,2025-10-17,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,53,Haridwar,Toys & Games,2025-08-18,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,80,Panipat,Toys & Games,2025-08-23,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,15,Kolkata,Toys & Games,2026-01-27,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-08-27,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-11-23,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,10,Ghaziabad,Toys & Games,2025-08-22,2.0,2998.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,10,Ghaziabad,Toys & Games,2025-11-20,1.0,1999.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,5,Hyderabad,Toys & Games,2025-11-20,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,10,Ghaziabad,Toys & Games,2025-07-16,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,9,Gurgaon,Toys & Games,2025-05-30,1.0,1499.0
10170704,Clapstore Toys Spark Switch Montessori Busy Board Game 1 pc,4948,Clapstore Private Limited,1,Bengaluru,Toys & Games,2025-05-30,2.0,2998.0
